prod_id,prod_name,Platform,prod_category,Seller_name,act_price,dis_price,dis_percent,Day of order,State_,cust_review,Seller_name_dup,cust_rating,Festival_Sale,mode_of_pay
PID000001,HP Pavilion Gaming Laptop,Amazon,Electronics,BeautyMart,11315.89,5431.63,52,2025-03-06,Delhi,"Arrived earlier than expected, very happy.",BeautyMart,5,None,Debit Card
PID000002,Dell Inspiron Laptop,Amazon,Electronics,BeautyMart,25366.69,23844.69,6,2026-11-26,West Bengal,"Arrived earlier than expected, very happy.",BeautyMart,4,GIF,Debit Card
PID000003,Philips Car Vacuum,Flipkart,Automotive,FashionFiesta,34967.34,25875.83,26,2026-04-10,Puducherry,"High quality and durable, highly recommended.",FashionFiesta,5,None,Debit Card
PID000004,Philips Mixer Grinder HL7756,Amazon,Home Appliances,BabyCarePlus,42405.22,24170.98,43,2025-11-19,Jharkhand,"Excellent product, great value for money.",BabyCarePlus,5,GIF,UPI
PID000005,Boat Bluetooth Speaker,Flipkart,Electronics,HomeEssentials,41504.35,23242.44,44,2024-08-27,Punjab,Packaging was damaged and parts missing.,HomeEssentials,2,None,Net Banking
PID000006,Blue Tokai Coffee Beans,Amazon,Grocery,HomeEssentials,49264.03,20198.25,59,2024-09-04,Uttar Pradesh,Very satisfied — works exactly as described.,HomeEssentials,5,None,UPI
PID000007,Sony WH-1000XM5 Headphones,Flipkart,Electronics,BabyCarePlus,10633.45,8294.09,22,2024-03-30,Telangana,"Okay product, nothing special.",BabyCarePlus,3,None,Credit Card
PID000008,Apple iPad Air,Amazon,Electronics,AutoZone,13643.4,7503.87,45,2026-10-15,Bihar,Decent for occasional use.,AutoZone,3,GIF,Cash on Delivery
PID000009,Samsung Galaxy S23 Ultra,Amazon,Electronics,GroceryKing,20178.01,18361.99,9,2025-11-20,Arunachal Pradesh,Five stars — exceeded my expectations.,GroceryKing,5,GIF,Debit Card
PID000010,Prestige Electric Kettle,Flipkart,Home Appliances,GadgetGalaxy,7315.01,6364.06,13,2026-03-05,Gujarat,"Arrived earlier than expected, very happy.",GadgetGalaxy,5,None,Net Banking
PID000011,Decathlon Gym Bag,Flipkart,Sports,BabyCarePlus,11122.17,9676.29,13,2024-02-01,Himachal Pradesh,Very satisfied — works exactly as described.,BabyCarePlus,4,None,Cash on Delivery
PID000012,Blue Tokai Coffee Beans,Amazon,Grocery,OfficePro,29901.17,21229.83,29,2026-11-30,Gujarat,"Great product for the price, will buy again.",OfficePro,4,GIF,Wallet
PID000013,Tata Tea Premium,Amazon,Grocery,Amazon Prime Store,34149.18,20831.0,39,2026-09-21,Delhi,Good value if you catch it on discount.,Amazon Prime Store,3,None,Debit Card
PID000014,HP Pavilion Gaming Laptop,Flipkart,Electronics,KitchenCorner,38145.72,24031.8,37,2024-09-28,Meghalaya,Overpriced for the quality offered.,KitchenCorner,2,BBD,UPI
PID000015,Sony WH-1000XM5 Headphones,Amazon,Electronics,FashionFiesta,27061.08,12448.1,54,2024-10-06,Kerala,"Not satisfied, delivery was late and item damaged.",FashionFiesta,2,GIF,UPI
PID000016,H&M Summer Dress,Amazon,Fashion,BeautyMart,3084.67,1819.96,41,2024-10-06,Jharkhand,"Received a defective unit, had to return.",BeautyMart,2,GIF,Cash on Delivery
PID000017,Apple iPad Air,Amazon,Electronics,FashionFiesta,13399.82,5359.93,60,2024-11-30,Andaman & Nicobar,"High quality and durable, highly recommended.",FashionFiesta,4,GIF,Net Banking
PID000018,Fisher-Price Learning Toy,Amazon,Toys,AutoZone,49758.44,26869.56,46,2025-10-11,West Bengal,"Arrived earlier than expected, very happy.",AutoZone,4,GIF,Credit Card
PID000019,Levi's 501 Jeans,Amazon,Fashion,BeautyMart,29504.32,28029.1,5,2025-06-06,Karnataka,"Excellent product, great value for money.",BeautyMart,5,None,Wallet
PID000020,Boat Bluetooth Speaker,Flipkart,Electronics,BeautyMart,14068.17,9003.63,36,2024-11-21,Jharkhand,Fast delivery and superb packaging.,BeautyMart,5,None,Cash on Delivery
PID000021,Apple iPad Air,Flipkart,Electronics,OfficePro,9682.41,8617.34,11,2025-11-02,West Bengal,Good value if you catch it on discount.,OfficePro,3,None,UPI
